Id,SalePrice
0,160027.86
1,102274.96
2,187009.11
3,116479.89
4,111707.24
5,182984.42
6,145615.53
7,146816.27
8,87482.016
9,356598.8
10,233438.38
11,228073.17
12,78903.484
13,138732.23
14,96925.44
15,147049.02
16,142337.45
17,182521.69
18,132866.25
19,139475.8
20,205717.77
21,147895.97
22,198198.06
23,201567.08
24,190287.7
25,291771.8
26,305580.4
27,206115.05
28,191548.02
29,213151.27
30,187409.2
31,88663.45
32,215723.48
33,98970.8
34,115688.445
35,80768.18
36,201518.45
37,317744.6
38,188082.97
39,265687.75
40,376614.38
41,210533.0
42,241513.95
43,192197.61
44,106652.25
45,318521.9
46,183998.14
47,153811.42
48,163108.38
49,118551.5
50,179982.98
51,138958.92
52,141309.25
53,160753.81
54,207816.25
55,187498.6
56,203562.83
57,127144.09
58,228555.47
59,136094.05
60,51347.78
61,133764.5
62,94212.93
63,349883.03
64,271392.2
65,178444.61
66,132366.81
67,214036.95
68,160267.66
69,185735.95
70,196699.38
71,199909.98
72,312672.88
73,89426.89
74,135394.6
75,415652.72
76,161317.6
77,243158.08
78,159367.94
79,171334.39
80,167113.56
81,137865.17
82,117295.2
83,189060.2
84,288003.44
85,172891.25
86,119002.68
87,131468.3
88,197336.89
89,376544.34
90,218816.39
91,97142.91
92,131071.81
93,69894.7
94,197689.14
95,166026.06
96,53209.266
97,221004.84
98,202808.66
99,257030.77
100,109820.04
101,289285.38
102,407725.6
103,326872.5
104,244990.66
105,173888.53
106,316929.0
107,206257.22
108,176445.56
109,99052.76
110,265371.72
111,127352.46
112,119342.05
113,92883.02
114,220000.3
115,118154.53
116,229639.38
117,277494.97
118,208267.42
119,171841.67
120,111868.12
121,125254.69
122,124150.94
123,142302.84
124,100813.17
125,497758.47
126,131570.89
127,210500.67
128,164454.3
129,251537.27
130,109337.76
131,168921.0
132,168697.39
133,122292.484
134,343331.03
135,247792.27
136,140823.73
137,163532.5
138,274946.34
139,209798.22
140,176838.58
141,244492.8
142,164288.77
143,215633.61
144,123476.83
145,117040.1
146,188247.17
147,227895.55
148,144577.86
149,107543.19
150,210197.95
151,389326.5
152,153022.66
153,245961.02
154,125620.63
155,171165.84
156,268767.84
157,62825.062
158,193068.58
159,144606.27
160,232446.47
161,114115.88
162,303395.56
163,142368.55
164,135079.77
165,205570.1
166,475496.03
167,250107.31
168,277987.66
169,259507.6
